serial_number,drone_type,detection_time,rf_time,time_diff,bandwidth,id_number,rssi,distance
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:12.843,1.843,10MHz,195,-17.42,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:15.216,4.216,10MHz,195,-17.62,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:16.484,5.484,10MHz,195,-21.29,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:16.772,5.772,10MHz,195,-20.5,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:16.985,5.985,10MHz,195,-21.16,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:11,2024-07-07 20:24:19.430,8.43,10MHz,195,-14.98,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:03.635,-9.365,10MHz,195,-20.76,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:03.635,-9.365,10MHz,195,-17.44,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:05.619,-7.381,10MHz,195,-21.31,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:09.219,-3.781,10MHz,195,-21.13,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:10.119,-2.8810000000000002,10MHz,195,-17.4,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:10.428,-2.572,10MHz,195,-20.59,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:12.009,-0.991,10MHz,195,-21.28,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:12.010,-0.99,10MHz,195,-21.01,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:12.568,-0.43200000000000005,10MHz,195,-20.63,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:12.843,-0.15700000000000003,10MHz,195,-17.42,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:15.216,2.216,10MHz,195,-17.62,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:16.484,3.484,10MHz,195,-21.29,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:16.772,3.7720000000000002,10MHz,195,-20.5,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:16.985,3.985,10MHz,195,-21.16,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:19.430,6.43,10MHz,195,-14.98,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:21.071,8.071,10MHz,195,-14.77,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:22.092,9.092,10MHz,195,-18.44,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:24:13,2024-07-07 20:24:22.523,9.523,10MHz,195,-15.03,0.026371984341071405
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:45.417,-7.583,10MHz,195,-20.41,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.705,-4.295,10MHz,195,-21.09,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.906,-4.094,10MHz,195,-18.49,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.322,-2.678,10MHz,195,-21.64,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.608,-2.392,10MHz,195,-14.85,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.899,-2.101,10MHz,195,-20.66,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.441,0.441,10MHz,195,-17.2,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.721,0.721,10MHz,195,-15.0,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.275,1.275,10MHz,195,-20.87,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.543,1.5430000000000001,10MHz,195,-15.07,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:57.229,4.229,10MHz,195,-14.68,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:24:00.927,7.927,10MHz,195,-21.3,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:45.417,-7.583,10MHz,195,-20.41,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.705,-4.295,10MHz,195,-21.09,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.906,-4.094,10MHz,195,-18.49,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.322,-2.678,10MHz,195,-21.64,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.608,-2.392,10MHz,195,-14.85,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.899,-2.101,10MHz,195,-20.66,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.441,0.441,10MHz,195,-17.2,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.721,0.721,10MHz,195,-15.0,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.275,1.275,10MHz,195,-20.87,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.543,1.5430000000000001,10MHz,195,-15.07,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:57.229,4.229,10MHz,195,-14.68,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:24:00.927,7.927,10MHz,195,-21.3,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:45.417,-7.583,10MHz,195,-20.41,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.705,-4.295,10MHz,195,-21.09,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:48.906,-4.094,10MHz,195,-18.49,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.322,-2.678,10MHz,195,-21.64,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.608,-2.392,10MHz,195,-14.85,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:50.899,-2.101,10MHz,195,-20.66,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.441,0.441,10MHz,195,-17.2,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:53.721,0.721,10MHz,195,-15.0,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.275,1.275,10MHz,195,-20.87,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:54.543,1.5430000000000001,10MHz,195,-15.07,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:23:57.229,4.229,10MHz,195,-14.68,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:53,2024-07-07 20:24:00.927,7.927,10MHz,195,-21.3,0.026362073799184163
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:40.922,-6.078,10MHz,195,-20.98,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:42.562,-4.438,10MHz,195,-20.91,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:45.417,-1.583,10MHz,195,-20.41,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:48.705,1.705,10MHz,195,-21.09,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:48.906,1.9060000000000001,10MHz,195,-18.49,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:50.322,3.322,10MHz,195,-21.64,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:50.608,3.608,10MHz,195,-14.85,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:50.899,3.899,10MHz,195,-20.66,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:53.441,6.441,10MHz,195,-17.2,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:53.721,6.721,10MHz,195,-15.0,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:54.275,7.275,10MHz,195,-20.87,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:47,2024-07-07 20:23:54.543,7.543,10MHz,195,-15.07,0.02629888464225361
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:32.915,-9.085,10MHz,195,-21.79,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:33.121,-8.879,10MHz,195,-18.51,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:33.121,-8.879,10MHz,195,-18.22,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:33.934,-8.066,10MHz,195,-17.98,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:35.076,-6.924,10MHz,195,-20.96,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:35.155,-6.845,10MHz,195,-21.8,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:40.922,-1.0779999999999998,10MHz,195,-20.98,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:42.562,0.562,10MHz,195,-20.91,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:45.417,3.417,10MHz,195,-20.41,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:48.705,6.705,10MHz,195,-21.09,0.026293556496685733
SerialNumber_55,Mavic Mini 2,2024-07-07 20:23:42,2024-07-07 20:23:48.906,6.906,10MHz,195,-18.49,0.026293556496685733
