drone_type,bandwidth_pair,ratio,ratio,ratio,ratio
,,count,mean,median,std
Mini 2 SE,10MHz_to_20MHz,5,1.1866666666666665,0.5948717948717949,1.3675856822483183
Mini 2 SE,10MHz_to_40MHz,5,1.1097435897435897,0.8102564102564103,0.8337442773732224
Mini 2 SE,20MHz_to_10MHz,5,58.98650093557872,1.6810344827586208,86.80052099062868
Mini 2 SE,20MHz_to_40MHz,5,81.6934242181235,1.3620689655172413,115.48724009659125
Mini 2 SE,40MHz_to_10MHz,5,1.2828307023162309,1.2341772151898733,0.7802387063157257
Mini 2 SE,40MHz_to_20MHz,5,1.4713014209894224,0.7341772151898734,1.7013066376770996
Mini 3,10MHz_to_20MHz,28,1.8663078418180459,2.494871794871795,1.420695435966745
Mini 3,10MHz_to_40MHz,8,1.8935374149659865,0.9861329147043434,1.6241855923199966
Mini 3,20MHz_to_10MHz,28,20.217442151867896,0.4008226227596522,56.53165288046362
Mini 3,20MHz_to_40MHz,21,45.01283726092771,1.4235976789168279,161.9459534155189
Mini 3,40MHz_to_10MHz,8,0.8434240697933446,1.0223327305605787,0.4517423098793963
Mini 3,40MHz_to_20MHz,21,1.247192814370855,0.7024456521739131,1.3748090030279128
Mini 3 Pro,10MHz_to_20MHz,1,1.0205128205128204,1.0205128205128204,
Mini 3 Pro,10MHz_to_40MHz,3,2.7470085470085466,2.5846153846153848,0.9565488774682426
Mini 3 Pro,20MHz_to_10MHz,1,0.9798994974874372,0.9798994974874372,
Mini 3 Pro,20MHz_to_40MHz,3,2.6917922948073705,2.5326633165829144,0.9373217643533029
Mini 3 Pro,40MHz_to_10MHz,3,0.3943951879808117,0.3869047619047619,0.13335261895427045
Mini 3 Pro,40MHz_to_20MHz,3,0.4024853456829822,0.3948412698412698,0.13608805729179393
Mini 4 Pro,10MHz_to_20MHz,21,1.8578031945378886,2.0444444444444443,1.3119554270662963
Mini 4 Pro,10MHz_to_40MHz,6,2.483974358974359,2.676282051282051,1.3941970294244173
Mini 4 Pro,20MHz_to_10MHz,21,17.256247724012116,0.4891304347826087,51.685360355292175
Mini 4 Pro,20MHz_to_40MHz,15,0.9236127897576372,0.9690522243713733,0.5303212826845853
Mini 4 Pro,40MHz_to_10MHz,6,0.60523859751603,0.37425149700598803,0.4547009315555486
Mini 4 Pro,40MHz_to_20MHz,15,1.6772372014364227,1.031936127744511,1.2356333858127422
Mini SE,10MHz_to_20MHz,2,1.5256410256410255,1.5256410256410255,1.4250921282375035
Mini SE,20MHz_to_10MHz,2,1.162714955706097,1.162714955706097,1.0860850638600046
